FUSION_ID,Count
TDU_consensed_contig_33037|TPR_consensed_contig_81949,54
TDU_consensed_contig_56983|TPR_consensed_contig_60177,32
TDU_consensed_contig_75722|TPR_consensed_contig_60147,7
TDU_consensed_contig_73842|TPR_consensed_contig_49538,0
TDU_consensed_contig_9144|TPR_consensed_contig_102246,345
TDU_consensed_contig_46040|TPR_consensed_contig_110150,294
TDU_consensed_contig_19331|TPR_consensed_contig_69339,0
TDU_consensed_contig_75027|TPR_consensed_contig_91709,0
TDU_consensed_contig_16360|TPR_consensed_contig_106968,10
TDU_consensed_contig_10874|TPR_consensed_contig_53613,0
TDU_consensed_contig_9247|TPR_consensed_contig_31295,0
TDU_consensed_contig_104654|TPR_consensed_contig_10718,0
TDU_consensed_contig_59264|TPR_consensed_contig_54179,92
TDU_consensed_contig_39174|TPR_consensed_contig_10735,615
TDU_consensed_contig_67572|TPR_consensed_contig_82167,0
TDU_consensed_contig_12631|TPR_consensed_contig_74997,1500
TDU_consensed_contig_39700|TPR_consensed_contig_81005,433
TDU_consensed_contig_38506|TPR_consensed_contig_20135,0
TDU_consensed_contig_16718|TPR_consensed_contig_75075,1206
TDU_consensed_contig_77592|TPR_consensed_contig_54144,174
TDU_consensed_contig_10134|TPR_consensed_contig_101033,1956
TDU_consensed_contig_38575|TPR_consensed_contig_100441,149
TDU_consensed_contig_80414|TPR_consensed_contig_115537,11
TDU_consensed_contig_39328|TPR_consensed_contig_37809,2
TDU_consensed_contig_104638|TPR_consensed_contig_26056,0
TDU_consensed_contig_59336|TPR_consensed_contig_53892,466
TDU_consensed_contig_11937|TPR_consensed_contig_108118,85
TDU_consensed_contig_36480|TPR_consensed_contig_65471,82
TDU_consensed_contig_48564|TPR_consensed_contig_94608,8
TDU_consensed_contig_83481|TPR_consensed_contig_101707,86
TDU_consensed_contig_61194|TPR_consensed_contig_49475,514
TDU_consensed_contig_23275|TPR_consensed_contig_36446,0
TDU_consensed_contig_25948|TPR_consensed_contig_49220,116
TDU_consensed_contig_67502|TPR_consensed_contig_9828,240
TDU_consensed_contig_17573|TPR_consensed_contig_98911,133650
TDU_consensed_contig_41911|TPR_consensed_contig_86736,0
TDU_consensed_contig_99695|TPR_consensed_contig_53770,0
TDU_consensed_contig_19476|TPR_consensed_contig_76021,533
TDU_consensed_contig_68432|TPR_consensed_contig_68223,0
TDU_consensed_contig_12596|TPR_consensed_contig_99783,197
TDU_consensed_contig_87914|TPR_consensed_contig_15507,0
TDU_consensed_contig_23505|TPR_consensed_contig_77150,9151
TDU_consensed_contig_33980|TPR_consensed_contig_92772,262
TDU_consensed_contig_16120|TPR_consensed_contig_98525,370
TDU_consensed_contig_75078|TPR_consensed_contig_99332,2274
TDU_consensed_contig_69777|TPR_consensed_contig_82258,1399
TDU_consensed_contig_74833|TPR_consensed_contig_105358,250
TDU_consensed_contig_43649|TPR_consensed_contig_60306,311
TDU_consensed_contig_27976|TPR_consensed_contig_98013,1800
TDU_consensed_contig_33098|TPR_consensed_contig_59899,6467
TDU_consensed_contig_12745|TPR_consensed_contig_77970,174
TDU_consensed_contig_45825|TPR_consensed_contig_61733,3271
TDU_consensed_contig_66436|TPR_consensed_contig_105601,0
TDU_consensed_contig_40482|TPR_consensed_contig_106942,83
TDU_consensed_contig_41963|TPR_consensed_contig_109425,167
TDU_consensed_contig_19573|TPR_consensed_contig_18202,706
TDU_consensed_contig_33332|TPR_consensed_contig_92493,442
TDU_consensed_contig_41680|TPR_consensed_contig_17074,29
TDU_consensed_contig_12636|TPR_consensed_contig_74015,1
TDU_consensed_contig_21950|TPR_consensed_contig_19832,11
TDU_consensed_contig_33741|TPR_consensed_contig_92566,1730
TDU_consensed_contig_61486|TPR_consensed_contig_11851,11
TDU_consensed_contig_38105|TPR_consensed_contig_86114,916
TDU_consensed_contig_20940|TPR_consensed_contig_21265,5
TDU_consensed_contig_69660|TPR_consensed_contig_105344,1064
TDU_consensed_contig_57023|TPR_consensed_contig_36284,0
TDU_consensed_contig_75341|TPR_consensed_contig_55429,0
TDU_consensed_contig_6165|TPR_consensed_contig_74589,1
TDU_consensed_contig_63721|TPR_consensed_contig_15160,475
TDU_consensed_contig_4784|TPR_consensed_contig_100829,981
TDU_consensed_contig_37031|TPR_consensed_contig_55762,36
TDU_consensed_contig_19150|TPR_consensed_contig_101665,0
TDU_consensed_contig_20714|TPR_consensed_contig_9740,0
TDU_consensed_contig_39314|TPR_consensed_contig_13802,4967
TDU_consensed_contig_21959|TPR_consensed_contig_54355,70
TDU_consensed_contig_84708|TPR_consensed_contig_102141,0
TDU_consensed_contig_40793|TPR_consensed_contig_75282,788
TDU_consensed_contig_9342|TPR_consensed_contig_104092,0
TDU_consensed_contig_13271|TPR_consensed_contig_101541,19
TDU_consensed_contig_32973|TPR_consensed_contig_100500,699
TDU_consensed_contig_32521|TPR_consensed_contig_77966,173
TDU_consensed_contig_8801|TPR_consensed_contig_49029,13
TDU_consensed_contig_26134|TPR_consensed_contig_11877,108
TDU_consensed_contig_4906|TPR_consensed_contig_82072,643
TDU_consensed_contig_37322|TPR_consensed_contig_81832,39
TDU_consensed_contig_38803|TPR_consensed_contig_75599,0
TDU_consensed_contig_20693|TPR_consensed_contig_101866,1431
TDU_consensed_contig_48191|TPR_consensed_contig_111673,31
TDU_consensed_contig_33852|TPR_consensed_contig_104633,351
TDU_consensed_contig_99603|TPR_consensed_contig_120777,1559
TDU_consensed_contig_82249|TPR_consensed_contig_54226,146
TDU_consensed_contig_77275|TPR_consensed_contig_104542,54
TDU_consensed_contig_70924|TPR_consensed_contig_71052,0
TDU_consensed_contig_18455|TPR_consensed_contig_102029,4718
TDU_consensed_contig_32871|TPR_consensed_contig_100160,1338
