FUSION_ID,Count
TDU_consensed_contig_33037|TPR_consensed_contig_81949,110
TDU_consensed_contig_56983|TPR_consensed_contig_60177,52
TDU_consensed_contig_75722|TPR_consensed_contig_60147,9
TDU_consensed_contig_73842|TPR_consensed_contig_49538,1
TDU_consensed_contig_9144|TPR_consensed_contig_102246,482
TDU_consensed_contig_46040|TPR_consensed_contig_110150,764
TDU_consensed_contig_19331|TPR_consensed_contig_69339,0
TDU_consensed_contig_75027|TPR_consensed_contig_91709,0
TDU_consensed_contig_16360|TPR_consensed_contig_106968,6
TDU_consensed_contig_10874|TPR_consensed_contig_53613,0
TDU_consensed_contig_9247|TPR_consensed_contig_31295,0
TDU_consensed_contig_104654|TPR_consensed_contig_10718,0
TDU_consensed_contig_59264|TPR_consensed_contig_54179,160
TDU_consensed_contig_39174|TPR_consensed_contig_10735,830
TDU_consensed_contig_67572|TPR_consensed_contig_82167,0
TDU_consensed_contig_12631|TPR_consensed_contig_74997,1981
TDU_consensed_contig_39700|TPR_consensed_contig_81005,987
TDU_consensed_contig_38506|TPR_consensed_contig_20135,0
TDU_consensed_contig_16718|TPR_consensed_contig_75075,2409
TDU_consensed_contig_77592|TPR_consensed_contig_54144,185
TDU_consensed_contig_10134|TPR_consensed_contig_101033,4217
TDU_consensed_contig_38575|TPR_consensed_contig_100441,317
TDU_consensed_contig_80414|TPR_consensed_contig_115537,81
TDU_consensed_contig_39328|TPR_consensed_contig_37809,9
TDU_consensed_contig_104638|TPR_consensed_contig_26056,0
TDU_consensed_contig_59336|TPR_consensed_contig_53892,542
TDU_consensed_contig_11937|TPR_consensed_contig_108118,124
TDU_consensed_contig_36480|TPR_consensed_contig_65471,126
TDU_consensed_contig_48564|TPR_consensed_contig_94608,29
TDU_consensed_contig_83481|TPR_consensed_contig_101707,107
TDU_consensed_contig_61194|TPR_consensed_contig_49475,907
TDU_consensed_contig_23275|TPR_consensed_contig_36446,0
TDU_consensed_contig_25948|TPR_consensed_contig_49220,138
TDU_consensed_contig_67502|TPR_consensed_contig_9828,514
TDU_consensed_contig_17573|TPR_consensed_contig_98911,181055
TDU_consensed_contig_41911|TPR_consensed_contig_86736,0
TDU_consensed_contig_99695|TPR_consensed_contig_53770,0
TDU_consensed_contig_19476|TPR_consensed_contig_76021,879
