FUSION_ID,Count
TDU_consensed_contig_48752|TPO_consensed_contig_106427,139
TDU_consensed_contig_101610|TPO_consensed_contig_16147,0
TDU_consensed_contig_3076|TPO_consensed_contig_4409,2001
TDU_consensed_contig_86268|TPO_consensed_contig_109535,0
TDU_consensed_contig_12660|TPO_consensed_contig_35704,785
TDU_consensed_contig_36157|TPO_consensed_contig_32174,530
TDU_consensed_contig_35369|TPO_consensed_contig_85862,446
TDU_consensed_contig_33692|TPO_consensed_contig_46821,664
TDU_consensed_contig_69335|TPO_consensed_contig_9777,321
TDU_consensed_contig_27762|TPO_consensed_contig_116132,1628
TDU_consensed_contig_45813|TPO_consensed_contig_12048,1
TDU_consensed_contig_71767|TPO_consensed_contig_114694,0
TDU_consensed_contig_59196|TPO_consensed_contig_84448,97
TDU_consensed_contig_40284|TPO_consensed_contig_111118,0
TDU_consensed_contig_56821|TPO_consensed_contig_19898,37
TDU_consensed_contig_59592|TPO_consensed_contig_32672,358
TDU_consensed_contig_80707|TPO_consensed_contig_12642,4980
TDU_consensed_contig_68449|TPO_consensed_contig_91407,579
TDU_consensed_contig_68151|TPO_consensed_contig_33765,2176
TDU_consensed_contig_60664|TPO_consensed_contig_28309,53
TDU_consensed_contig_56748|TPO_consensed_contig_9392,161
TDU_consensed_contig_11053|TPO_consensed_contig_39553,12755
TDU_consensed_contig_4745|TPO_consensed_contig_27969,162
TDU_consensed_contig_37494|TPO_consensed_contig_37012,4250
TDU_consensed_contig_39883|TPO_consensed_contig_26319,70
TDU_consensed_contig_38951|TPO_consensed_contig_88491,0
TDU_consensed_contig_38948|TPO_consensed_contig_17905,0
TDU_consensed_contig_8405|TPO_consensed_contig_33570,5671
TDU_consensed_contig_46251|TPO_consensed_contig_32522,268
TDU_consensed_contig_34448|TPO_consensed_contig_43120,87
TDU_consensed_contig_57117|TPO_consensed_contig_85400,0
TDU_consensed_contig_57333|TPO_consensed_contig_17762,1689
TDU_consensed_contig_16521|TPO_consensed_contig_16031,48
TDU_consensed_contig_8604|TPO_consensed_contig_16601,385
TDU_consensed_contig_75042|TPO_consensed_contig_10293,0
TDU_consensed_contig_56911|TPO_consensed_contig_37656,1241
TDU_consensed_contig_35746|TPO_consensed_contig_13623,50
TDU_consensed_contig_16676|TPO_consensed_contig_13149,188
TDU_consensed_contig_104154|TPO_consensed_contig_24645,2
TDU_consensed_contig_86271|TPO_consensed_contig_59209,37
TDU_consensed_contig_28098|TPO_consensed_contig_32709,589
TDU_consensed_contig_40286|TPO_consensed_contig_17932,223
TDU_consensed_contig_67353|TPO_consensed_contig_71040,0
TDU_consensed_contig_6837|TPO_consensed_contig_38786,27
TDU_consensed_contig_33969|TPO_consensed_contig_43357,79
TDU_consensed_contig_38793|TPO_consensed_contig_13302,0
TDU_consensed_contig_72992|TPO_consensed_contig_83367,0
TDU_consensed_contig_28679|TPO_consensed_contig_46903,242
TDU_consensed_contig_32845|TPO_consensed_contig_16196,118
TDU_consensed_contig_75315|TPO_consensed_contig_27827,533
TDU_consensed_contig_102617|TPO_consensed_contig_18635,0
TDU_consensed_contig_60325|TPO_consensed_contig_13545,66
TDU_consensed_contig_9119|TPO_consensed_contig_37763,177
TDU_consensed_contig_36823|TPO_consensed_contig_38920,143
TDU_consensed_contig_12946|TPO_consensed_contig_38940,250
TDU_consensed_contig_12496|TPO_consensed_contig_37721,1569
TDU_consensed_contig_75477|TPO_consensed_contig_11577,6
TDU_consensed_contig_39516|TPO_consensed_contig_42256,12
TDU_consensed_contig_34338|TPO_consensed_contig_18819,457
TDU_consensed_contig_60709|TPO_consensed_contig_84476,985
TDU_consensed_contig_2774|TPO_consensed_contig_84555,7025
TDU_consensed_contig_101853|TPO_consensed_contig_16816,2200
TDU_consensed_contig_64901|TPO_consensed_contig_28516,37
TDU_consensed_contig_39518|TPO_consensed_contig_96969,937
TDU_consensed_contig_101581|TPO_consensed_contig_34949,0
TDU_consensed_contig_100763|TPO_consensed_contig_21833,9
TDU_consensed_contig_64381|TPO_consensed_contig_89508,15
TDU_consensed_contig_47301|TPO_consensed_contig_86180,34
TDU_consensed_contig_12648|TPO_consensed_contig_16316,52
TDU_consensed_contig_12371|TPO_consensed_contig_84318,2475
TDU_consensed_contig_39928|TPO_consensed_contig_58582,1
TDU_consensed_contig_18461|TPO_consensed_contig_39694,0
TDU_consensed_contig_33436|TPO_consensed_contig_27538,6105
TDU_consensed_contig_102177|TPO_consensed_contig_20130,48
TDU_consensed_contig_33688|TPO_consensed_contig_34221,1719
TDU_consensed_contig_18692|TPO_consensed_contig_108159,0
TDU_consensed_contig_56846|TPO_consensed_contig_34589,330
TDU_consensed_contig_13355|TPO_consensed_contig_100955,429
TDU_consensed_contig_86970|TPO_consensed_contig_111565,0
TDU_consensed_contig_20226|TPO_consensed_contig_42203,1032
TDU_consensed_contig_88810|TPO_consensed_contig_116113,2
TDU_consensed_contig_61588|TPO_consensed_contig_105827,69
TDU_consensed_contig_101945|TPO_consensed_contig_68391,0
TDU_consensed_contig_27936|TPO_consensed_contig_35859,908
TDU_consensed_contig_19428|TPO_consensed_contig_40171,191
TDU_consensed_contig_8472|TPO_consensed_contig_16638,89
TDU_consensed_contig_16874|TPO_consensed_contig_58867,12101
TDU_consensed_contig_45868|TPO_consensed_contig_35616,4222
TDU_consensed_contig_9216|TPO_consensed_contig_47340,5
TDU_consensed_contig_36218|TPO_consensed_contig_95174,1034
TDU_consensed_contig_91839|TPO_consensed_contig_66236,0
TDU_consensed_contig_34888|TPO_consensed_contig_91844,101
TDU_consensed_contig_57766|TPO_consensed_contig_28199,97
TDU_consensed_contig_37324|TPO_consensed_contig_36079,904
TDU_consensed_contig_82274|TPO_consensed_contig_102463,1179
TDU_consensed_contig_69610|TPO_consensed_contig_9736,29
TDU_consensed_contig_62134|TPO_consensed_contig_19579,76
TDU_consensed_contig_45014|TPO_consensed_contig_8890,277
TDU_consensed_contig_33119|TPO_consensed_contig_35778,50
TDU_consensed_contig_27373|TPO_consensed_contig_59761,92
TDU_consensed_contig_40824|TPO_consensed_contig_41222,8
TDU_consensed_contig_68824|TPO_consensed_contig_88006,0
TDU_consensed_contig_59544|TPO_consensed_contig_101475,355
TDU_consensed_contig_23462|TPO_consensed_contig_85074,603
TDU_consensed_contig_59252|TPO_consensed_contig_10000,5921
TDU_consensed_contig_59187|TPO_consensed_contig_100864,789
TDU_consensed_contig_74326|TPO_consensed_contig_47243,180
TDU_consensed_contig_59383|TPO_consensed_contig_91061,310386
TDU_consensed_contig_45891|TPO_consensed_contig_83920,573
TDU_consensed_contig_80841|TPO_consensed_contig_85983,183
TDU_consensed_contig_74539|TPO_consensed_contig_37333,392
TDU_consensed_contig_84445|TPO_consensed_contig_40014,13
TDU_consensed_contig_38621|TPO_consensed_contig_16099,118
TDU_consensed_contig_24387|TPO_consensed_contig_62642,0
TDU_consensed_contig_73880|TPO_consensed_contig_20205,128
TDU_consensed_contig_42577|TPO_consensed_contig_49292,35
TDU_consensed_contig_27733|TPO_consensed_contig_16166,3009
TDU_consensed_contig_75131|TPO_consensed_contig_37525,0
TDU_consensed_contig_13259|TPO_consensed_contig_13948,52
TDU_consensed_contig_17519|TPO_consensed_contig_58392,0
TDU_consensed_contig_8818|TPO_consensed_contig_13036,6309
TDU_consensed_contig_9953|TPO_consensed_contig_47330,0
TDU_consensed_contig_7293|TPO_consensed_contig_37856,36
TDU_consensed_contig_74796|TPO_consensed_contig_89874,456
TDU_consensed_contig_35545|TPO_consensed_contig_107904,2608
TDU_consensed_contig_74127|TPO_consensed_contig_106173,2108
TDU_consensed_contig_100459|TPO_consensed_contig_10703,0
TDU_consensed_contig_13517|TPO_consensed_contig_38353,252
TDU_consensed_contig_15885|TPO_consensed_contig_12447,41
TDU_consensed_contig_69277|TPO_consensed_contig_65498,0
TDU_consensed_contig_38977|TPO_consensed_contig_16040,684
TDU_consensed_contig_7261|TPO_consensed_contig_8675,1244
TDU_consensed_contig_17492|TPO_consensed_contig_16892,1152
TDU_consensed_contig_75151|TPO_consensed_contig_107176,0
TDU_consensed_contig_43796|TPO_consensed_contig_71372,1
TDU_consensed_contig_46444|TPO_consensed_contig_44648,87
TDU_consensed_contig_67387|TPO_consensed_contig_41956,52
TDU_consensed_contig_28343|TPO_consensed_contig_13204,336
TDU_consensed_contig_36365|TPO_consensed_contig_84776,68
TDU_consensed_contig_18354|TPO_consensed_contig_104691,25
TDU_consensed_contig_29364|TPO_consensed_contig_84941,277
TDU_consensed_contig_39043|TPO_consensed_contig_39959,205
TDU_consensed_contig_37143|TPO_consensed_contig_105155,3
TDU_consensed_contig_55445|TPO_consensed_contig_27541,11
TDU_consensed_contig_43151|TPO_consensed_contig_59204,114
TDU_consensed_contig_13469|TPO_consensed_contig_48867,18
TDU_consensed_contig_84728|TPO_consensed_contig_5374,0
TDU_consensed_contig_102960|TPO_consensed_contig_71214,0
TDU_consensed_contig_42282|TPO_consensed_contig_19644,10000
TDU_consensed_contig_37201|TPO_consensed_contig_85445,726
TDU_consensed_contig_37103|TPO_consensed_contig_34302,20
TDU_consensed_contig_27826|TPO_consensed_contig_85993,10471
TDU_consensed_contig_45352|TPO_consensed_contig_83765,16
TDU_consensed_contig_79960|TPO_consensed_contig_35107,46
TDU_consensed_contig_79910|TPO_consensed_contig_95972,79
TDU_consensed_contig_45491|TPO_consensed_contig_36054,40
TDU_consensed_contig_66574|TPO_consensed_contig_112457,1
TDU_consensed_contig_11472|TPO_consensed_contig_28195,105
TDU_consensed_contig_100689|TPO_consensed_contig_41642,0
TDU_consensed_contig_63585|TPO_consensed_contig_33368,11265
TDU_consensed_contig_77029|TPO_consensed_contig_8511,256
TDU_consensed_contig_10395|TPO_consensed_contig_12416,0
TDU_consensed_contig_8435|TPO_consensed_contig_36145,306
TDU_consensed_contig_19181|TPO_consensed_contig_87882,0
TDU_consensed_contig_58036|TPO_consensed_contig_25058,29
TDU_consensed_contig_18338|TPO_consensed_contig_37761,12
TDU_consensed_contig_8661|TPO_consensed_contig_18694,51
TDU_consensed_contig_83436|TPO_consensed_contig_102699,4
TDU_consensed_contig_33461|TPO_consensed_contig_73286,499
TDU_consensed_contig_34100|TPO_consensed_contig_28072,89
