FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
TDU_consensed_contig_48752|TPO_consensed_contig_106427,12,5,11,0,5,0,1,0,3,1
TDU_consensed_contig_101610|TPO_consensed_contig_16147,0,0,0,90,0,0,0,156,0,0
TDU_consensed_contig_3076|TPO_consensed_contig_4409,856,211,8,3,404,5,17,0,136,14
TDU_consensed_contig_86268|TPO_consensed_contig_109535,0,0,0,0,0,0,0,0,0,0
TDU_consensed_contig_12660|TPO_consensed_contig_35704,543,108,2,3,184,3,7,2,112,4
TDU_consensed_contig_36157|TPO_consensed_contig_32174,193,18,25,1,129,3,19,18,35,1
TDU_consensed_contig_35369|TPO_consensed_contig_85862,225,42,20,0,66,0,9,47,29,3
TDU_consensed_contig_33692|TPO_consensed_contig_46821,168,12,1,2,82,2,3,52,50,6
TDU_consensed_contig_69335|TPO_consensed_contig_9777,66,30,13,645,66,3,107,2271,287,45
TDU_consensed_contig_27762|TPO_consensed_contig_116132,601,69,2088,0,383,1,637,0,153,14
TDU_consensed_contig_45813|TPO_consensed_contig_12048,0,0,750,0,2,0,170,0,0,0
TDU_consensed_contig_71767|TPO_consensed_contig_114694,0,0,2,9,0,0,16,23,0,0
TDU_consensed_contig_59196|TPO_consensed_contig_84448,6,1,0,129,2,0,0,140,1,0
TDU_consensed_contig_40284|TPO_consensed_contig_111118,0,0,0,18,0,0,0,3,0,0
TDU_consensed_contig_56821|TPO_consensed_contig_19898,8,0,1,0,39,0,1,10,7,3
TDU_consensed_contig_59592|TPO_consensed_contig_32672,84,9,8,0,255,1,11,0,87,8
TDU_consensed_contig_80707|TPO_consensed_contig_12642,3360,351,46,4,1883,20,56,9,618,61
TDU_consensed_contig_68449|TPO_consensed_contig_91407,297,31,597,0,118,7,152,3,28,13
TDU_consensed_contig_68151|TPO_consensed_contig_33765,2117,264,29,1098,777,16,42,894,348,27
TDU_consensed_contig_60664|TPO_consensed_contig_28309,27,2,0,2,3,0,0,1,3,0
