FUSION_ID,Count
TDU_consensed_contig_48752|TPO_consensed_contig_106427,26
TDU_consensed_contig_101610|TPO_consensed_contig_16147,0
TDU_consensed_contig_3076|TPO_consensed_contig_4409,1626
TDU_consensed_contig_86268|TPO_consensed_contig_109535,0
TDU_consensed_contig_12660|TPO_consensed_contig_35704,954
TDU_consensed_contig_36157|TPO_consensed_contig_32174,379
TDU_consensed_contig_35369|TPO_consensed_contig_85862,365
TDU_consensed_contig_33692|TPO_consensed_contig_46821,320
TDU_consensed_contig_69335|TPO_consensed_contig_9777,497
TDU_consensed_contig_27762|TPO_consensed_contig_116132,1221
TDU_consensed_contig_45813|TPO_consensed_contig_12048,2
TDU_consensed_contig_71767|TPO_consensed_contig_114694,0
TDU_consensed_contig_59196|TPO_consensed_contig_84448,10
TDU_consensed_contig_40284|TPO_consensed_contig_111118,0
TDU_consensed_contig_56821|TPO_consensed_contig_19898,57
TDU_consensed_contig_59592|TPO_consensed_contig_32672,444
TDU_consensed_contig_80707|TPO_consensed_contig_12642,6293
TDU_consensed_contig_68449|TPO_consensed_contig_91407,494
TDU_consensed_contig_68151|TPO_consensed_contig_33765,3549
TDU_consensed_contig_60664|TPO_consensed_contig_28309,35
TDU_consensed_contig_56748|TPO_consensed_contig_9392,312
TDU_consensed_contig_11053|TPO_consensed_contig_39553,9644
TDU_consensed_contig_4745|TPO_consensed_contig_27969,127
TDU_consensed_contig_37494|TPO_consensed_contig_37012,6172
TDU_consensed_contig_39883|TPO_consensed_contig_26319,122
TDU_consensed_contig_38951|TPO_consensed_contig_88491,0
TDU_consensed_contig_38948|TPO_consensed_contig_17905,0
TDU_consensed_contig_8405|TPO_consensed_contig_33570,5669
TDU_consensed_contig_46251|TPO_consensed_contig_32522,270
TDU_consensed_contig_34448|TPO_consensed_contig_43120,34
TDU_consensed_contig_57117|TPO_consensed_contig_85400,0
TDU_consensed_contig_57333|TPO_consensed_contig_17762,1148
TDU_consensed_contig_16521|TPO_consensed_contig_16031,24
TDU_consensed_contig_8604|TPO_consensed_contig_16601,505
TDU_consensed_contig_75042|TPO_consensed_contig_10293,0
TDU_consensed_contig_56911|TPO_consensed_contig_37656,2241
TDU_consensed_contig_35746|TPO_consensed_contig_13623,352
TDU_consensed_contig_16676|TPO_consensed_contig_13149,330
TDU_consensed_contig_104154|TPO_consensed_contig_24645,0
TDU_consensed_contig_86271|TPO_consensed_contig_59209,13
TDU_consensed_contig_28098|TPO_consensed_contig_32709,602
TDU_consensed_contig_40286|TPO_consensed_contig_17932,289
TDU_consensed_contig_67353|TPO_consensed_contig_71040,0
TDU_consensed_contig_6837|TPO_consensed_contig_38786,312
TDU_consensed_contig_33969|TPO_consensed_contig_43357,116
TDU_consensed_contig_38793|TPO_consensed_contig_13302,0
TDU_consensed_contig_72992|TPO_consensed_contig_83367,0
TDU_consensed_contig_28679|TPO_consensed_contig_46903,87
TDU_consensed_contig_32845|TPO_consensed_contig_16196,41
TDU_consensed_contig_75315|TPO_consensed_contig_27827,691
TDU_consensed_contig_102617|TPO_consensed_contig_18635,0
TDU_consensed_contig_60325|TPO_consensed_contig_13545,52
TDU_consensed_contig_9119|TPO_consensed_contig_37763,149
TDU_consensed_contig_36823|TPO_consensed_contig_38920,102
TDU_consensed_contig_12946|TPO_consensed_contig_38940,196
TDU_consensed_contig_12496|TPO_consensed_contig_37721,2779
TDU_consensed_contig_75477|TPO_consensed_contig_11577,17
TDU_consensed_contig_39516|TPO_consensed_contig_42256,17
TDU_consensed_contig_34338|TPO_consensed_contig_18819,108
TDU_consensed_contig_60709|TPO_consensed_contig_84476,840
TDU_consensed_contig_2774|TPO_consensed_contig_84555,5605
TDU_consensed_contig_101853|TPO_consensed_contig_16816,2190
TDU_consensed_contig_64901|TPO_consensed_contig_28516,14
TDU_consensed_contig_39518|TPO_consensed_contig_96969,468
TDU_consensed_contig_101581|TPO_consensed_contig_34949,0
TDU_consensed_contig_100763|TPO_consensed_contig_21833,1
TDU_consensed_contig_64381|TPO_consensed_contig_89508,4
TDU_consensed_contig_47301|TPO_consensed_contig_86180,36
TDU_consensed_contig_12648|TPO_consensed_contig_16316,92
TDU_consensed_contig_12371|TPO_consensed_contig_84318,2523
TDU_consensed_contig_39928|TPO_consensed_contig_58582,0
TDU_consensed_contig_18461|TPO_consensed_contig_39694,0
TDU_consensed_contig_33436|TPO_consensed_contig_27538,5374
TDU_consensed_contig_102177|TPO_consensed_contig_20130,90
TDU_consensed_contig_33688|TPO_consensed_contig_34221,792
TDU_consensed_contig_18692|TPO_consensed_contig_108159,0
TDU_consensed_contig_56846|TPO_consensed_contig_34589,72
TDU_consensed_contig_13355|TPO_consensed_contig_100955,63
TDU_consensed_contig_86970|TPO_consensed_contig_111565,0
TDU_consensed_contig_20226|TPO_consensed_contig_42203,779
TDU_consensed_contig_88810|TPO_consensed_contig_116113,7
TDU_consensed_contig_61588|TPO_consensed_contig_105827,78
TDU_consensed_contig_101945|TPO_consensed_contig_68391,0
TDU_consensed_contig_27936|TPO_consensed_contig_35859,898
TDU_consensed_contig_19428|TPO_consensed_contig_40171,312
TDU_consensed_contig_8472|TPO_consensed_contig_16638,56
TDU_consensed_contig_16874|TPO_consensed_contig_58867,10881
TDU_consensed_contig_45868|TPO_consensed_contig_35616,3920
TDU_consensed_contig_9216|TPO_consensed_contig_47340,11
TDU_consensed_contig_36218|TPO_consensed_contig_95174,958
TDU_consensed_contig_91839|TPO_consensed_contig_66236,0
TDU_consensed_contig_34888|TPO_consensed_contig_91844,209
TDU_consensed_contig_57766|TPO_consensed_contig_28199,26
TDU_consensed_contig_37324|TPO_consensed_contig_36079,602
TDU_consensed_contig_82274|TPO_consensed_contig_102463,993
